len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
120,100,-20,20,0.16666666666666666,120,0,0,0.0,124,4,4,0.03333333333333333,124,4,4,0.03333333333333333,129,9,9,0.075,90,-30,30,0.25,99,-21,21,0.175,93,-27,27,0.225,102,-18,18,0.15
119,162,43,43,0.36134453781512604,131,12,12,0.10084033613445378,133,14,14,0.11764705882352941,133,14,14,0.11764705882352941,133,14,14,0.11764705882352941,119,0,0,0.0,134,15,15,0.12605042016806722,131,12,12,0.10084033613445378,126,7,7,0.058823529411764705
110,93,-17,17,0.15454545454545454,98,-12,12,0.10909090909090909,95,-15,15,0.13636363636363635,104,-6,6,0.05454545454545454,87,-23,23,0.20909090909090908,103,-7,7,0.06363636363636363,96,-14,14,0.12727272727272726,113,3,3,0.02727272727272727,106,-4,4,0.03636363636363636
152,122,-30,30,0.19736842105263158,142,-10,10,0.06578947368421052,144,-8,8,0.05263157894736842,144,-8,8,0.05263157894736842,144,-8,8,0.05263157894736842,112,-40,40,0.2631578947368421,142,-10,10,0.06578947368421052,134,-18,18,0.11842105263157894,136,-16,16,0.10526315789473684
92,90,-2,2,0.021739130434782608,92,0,0,0.0,94,2,2,0.021739130434782608,94,2,2,0.021739130434782608,94,2,2,0.021739130434782608,90,-2,2,0.021739130434782608,79,-13,13,0.14130434782608695,101,9,9,0.09782608695652174,87,-5,5,0.05434782608695652
20,21,1,1,0.05,20,0,0,0.0,21,1,1,0.05,18,-2,2,0.1,18,-2,2,0.1,15,-5,5,0.25,19,-1,1,0.05,18,-2,2,0.1,16,-4,4,0.2
158,157,-1,1,0.006329113924050633,173,15,15,0.0949367088607595,177,19,19,0.12025316455696203,162,4,4,0.02531645569620253,177,19,19,0.12025316455696203,158,0,0,0.0,150,-8,8,0.05063291139240506,165,7,7,0.04430379746835443,151,-7,7,0.04430379746835443
101,87,-14,14,0.13861386138613863,110,9,9,0.0891089108910891,149,48,48,0.4752475247524752,110,9,9,0.0891089108910891,144,43,43,0.42574257425742573,100,-1,1,0.009900990099009901,114,13,13,0.12871287128712872,99,-2,2,0.019801980198019802,101,0,0,0.0
232,225,-7,7,0.03017241379310345,263,31,31,0.1336206896551724,252,20,20,0.08620689655172414,240,8,8,0.034482758620689655,252,20,20,0.08620689655172414,242,10,10,0.04310344827586207,248,16,16,0.06896551724137931,254,22,22,0.09482758620689655,270,38,38,0.16379310344827586
131,130,-1,1,0.007633587786259542,147,16,16,0.12213740458015267,146,15,15,0.11450381679389313,138,7,7,0.05343511450381679,141,10,10,0.07633587786259542,139,8,8,0.061068702290076333,131,0,0,0.0,144,13,13,0.09923664122137404,156,25,25,0.19083969465648856
170,146,-24,24,0.1411764705882353,141,-29,29,0.17058823529411765,142,-28,28,0.16470588235294117,139,-31,31,0.18235294117647058,138,-32,32,0.18823529411764706,126,-44,44,0.25882352941176473,135,-35,35,0.20588235294117646,141,-29,29,0.17058823529411765,145,-25,25,0.14705882352941177
