len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
91,195,104,104,1.1428571428571428,174,83,83,0.9120879120879121,149,58,58,0.6373626373626373,163,72,72,0.7912087912087912
47,124,77,77,1.6382978723404256,104,57,57,1.2127659574468086,101,54,54,1.148936170212766,82,35,35,0.7446808510638298
46,117,71,71,1.5434782608695652,96,50,50,1.0869565217391304,105,59,59,1.2826086956521738,83,37,37,0.8043478260869565
39,84,45,45,1.1538461538461537,59,20,20,0.5128205128205128,60,21,21,0.5384615384615384,58,19,19,0.48717948717948717
48,68,20,20,0.4166666666666667,67,19,19,0.3958333333333333,71,23,23,0.4791666666666667,70,22,22,0.4583333333333333
49,98,49,49,1.0,81,32,32,0.6530612244897959,102,53,53,1.0816326530612246,114,65,65,1.3265306122448979
87,92,5,5,0.05747126436781609,88,1,1,0.011494252873563218,77,-10,10,0.11494252873563218,108,21,21,0.2413793103448276
107,177,70,70,0.6542056074766355,154,47,47,0.4392523364485981,127,20,20,0.18691588785046728,138,31,31,0.2897196261682243
58,99,41,41,0.7068965517241379,122,64,64,1.103448275862069,94,36,36,0.6206896551724138,102,44,44,0.7586206896551724
144,99,-45,45,0.3125,109,-35,35,0.24305555555555555,96,-48,48,0.3333333333333333,146,2,2,0.013888888888888888
50,91,41,41,0.82,87,37,37,0.74,96,46,46,0.92,92,42,42,0.84
25,51,26,26,1.04,56,31,31,1.24,43,18,18,0.72,46,21,21,0.84
57,104,47,47,0.8245614035087719,87,30,30,0.5263157894736842,92,35,35,0.6140350877192983,88,31,31,0.543859649122807
102,137,35,35,0.3431372549019608,118,16,16,0.1568627450980392,102,0,0,0.0,128,26,26,0.2549019607843137
17,35,18,18,1.0588235294117647,34,17,17,1.0,25,8,8,0.47058823529411764,26,9,9,0.5294117647058824
42,71,29,29,0.6904761904761905,79,37,37,0.8809523809523809,68,26,26,0.6190476190476191,74,32,32,0.7619047619047619
175,264,89,89,0.5085714285714286,298,123,123,0.7028571428571428,206,31,31,0.17714285714285713,270,95,95,0.5428571428571428
47,89,42,42,0.8936170212765957,107,60,60,1.2765957446808511,72,25,25,0.5319148936170213,70,23,23,0.48936170212765956
80,197,117,117,1.4625,134,54,54,0.675,127,47,47,0.5875,161,81,81,1.0125
56,167,111,111,1.9821428571428572,113,57,57,1.0178571428571428,112,56,56,1.0,115,59,59,1.0535714285714286
61,145,84,84,1.3770491803278688,111,50,50,0.819672131147541,135,74,74,1.2131147540983607,127,66,66,1.0819672131147542
83,153,70,70,0.8433734939759037,126,43,43,0.5180722891566265,153,70,70,0.8433734939759037,132,49,49,0.5903614457831325
55,144,89,89,1.6181818181818182,131,76,76,1.3818181818181818,89,34,34,0.6181818181818182,72,17,17,0.3090909090909091
61,134,73,73,1.1967213114754098,128,67,67,1.098360655737705,112,51,51,0.8360655737704918,113,52,52,0.8524590163934426
33,59,26,26,0.7878787878787878,69,36,36,1.0909090909090908,71,38,38,1.1515151515151516,69,36,36,1.0909090909090908
57,159,102,102,1.7894736842105263,135,78,78,1.368421052631579,145,88,88,1.543859649122807,133,76,76,1.3333333333333333
20,36,16,16,0.8,37,17,17,0.85,41,21,21,1.05,36,16,16,0.8
110,240,130,130,1.1818181818181819,160,50,50,0.45454545454545453,157,47,47,0.42727272727272725,178,68,68,0.6181818181818182
115,202,87,87,0.7565217391304347,181,66,66,0.5739130434782609,189,74,74,0.6434782608695652,234,119,119,1.0347826086956522
62,144,82,82,1.3225806451612903,131,69,69,1.1129032258064515,116,54,54,0.8709677419354839,110,48,48,0.7741935483870968
31,130,99,99,3.193548387096774,75,44,44,1.4193548387096775,72,41,41,1.3225806451612903,64,33,33,1.064516129032258
94,125,31,31,0.32978723404255317,110,16,16,0.1702127659574468,105,11,11,0.11702127659574468,135,41,41,0.43617021276595747
47,103,56,56,1.1914893617021276,101,54,54,1.148936170212766,83,36,36,0.7659574468085106,82,35,35,0.7446808510638298
45,115,70,70,1.5555555555555556,105,60,60,1.3333333333333333,92,47,47,1.0444444444444445,90,45,45,1.0
77,165,88,88,1.1428571428571428,171,94,94,1.2207792207792207,143,66,66,0.8571428571428571,154,77,77,1.0
