len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
80,241,161,161,2.0125,252,172,172,2.15,270,190,190,2.375,225,145,145,1.8125
97,269,172,172,1.7731958762886597,224,127,127,1.309278350515464,235,138,138,1.422680412371134,236,139,139,1.4329896907216495
99,261,162,162,1.6363636363636365,230,131,131,1.3232323232323233,243,144,144,1.4545454545454546,241,142,142,1.4343434343434343
102,332,230,230,2.2549019607843137,253,151,151,1.4803921568627452,273,171,171,1.6764705882352942,267,165,165,1.6176470588235294
74,252,178,178,2.4054054054054053,225,151,151,2.0405405405405403,200,126,126,1.7027027027027026,199,125,125,1.6891891891891893
88,208,120,120,1.3636363636363635,171,83,83,0.9431818181818182,195,107,107,1.2159090909090908,190,102,102,1.1590909090909092
51,147,96,96,1.8823529411764706,137,86,86,1.6862745098039216,137,86,86,1.6862745098039216,147,96,96,1.8823529411764706
49,132,83,83,1.6938775510204083,84,35,35,0.7142857142857143,117,68,68,1.3877551020408163,97,48,48,0.9795918367346939
57,134,77,77,1.3508771929824561,118,61,61,1.0701754385964912,158,101,101,1.7719298245614035,114,57,57,1.0
100,294,194,194,1.94,313,213,213,2.13,312,212,212,2.12,308,208,208,2.08
73,174,101,101,1.3835616438356164,225,152,152,2.0821917808219177,195,122,122,1.6712328767123288,208,135,135,1.8493150684931507
62,173,111,111,1.7903225806451613,151,89,89,1.435483870967742,159,97,97,1.564516129032258,158,96,96,1.5483870967741935
103,265,162,162,1.5728155339805825,246,143,143,1.3883495145631068,280,177,177,1.7184466019417475,278,175,175,1.6990291262135921
84,232,148,148,1.7619047619047619,227,143,143,1.7023809523809523,234,150,150,1.7857142857142858,198,114,114,1.3571428571428572
47,125,78,78,1.6595744680851063,111,64,64,1.3617021276595744,122,75,75,1.5957446808510638,113,66,66,1.4042553191489362
78,189,111,111,1.4230769230769231,213,135,135,1.7307692307692308,229,151,151,1.935897435897436,185,107,107,1.3717948717948718
81,163,82,82,1.0123456790123457,160,79,79,0.9753086419753086,190,109,109,1.345679012345679,168,87,87,1.0740740740740742
65,163,98,98,1.5076923076923077,172,107,107,1.646153846153846,167,102,102,1.5692307692307692,135,70,70,1.0769230769230769
102,280,178,178,1.7450980392156863,290,188,188,1.8431372549019607,250,148,148,1.4509803921568627,232,130,130,1.2745098039215685
68,196,128,128,1.8823529411764706,154,86,86,1.2647058823529411,178,110,110,1.6176470588235294,198,130,130,1.911764705882353
67,177,110,110,1.6417910447761195,195,128,128,1.9104477611940298,176,109,109,1.626865671641791,189,122,122,1.8208955223880596
57,146,89,89,1.5614035087719298,156,99,99,1.736842105263158,167,110,110,1.9298245614035088,164,107,107,1.8771929824561404
50,96,46,46,0.92,101,51,51,1.02,81,31,31,0.62,90,40,40,0.8
