len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
105,110,5,5,0.047619047619047616,100,-5,5,0.047619047619047616,99,-6,6,0.05714285714285714,104,-1,1,0.009523809523809525,96,-9,9,0.08571428571428572,100,-5,5,0.047619047619047616,89,-16,16,0.1523809523809524,108,3,3,0.02857142857142857,103,-2,2,0.01904761904761905
25,28,3,3,0.12,26,1,1,0.04,31,6,6,0.24,26,1,1,0.04,35,10,10,0.4,30,5,5,0.2,30,5,5,0.2,30,5,5,0.2,30,5,5,0.2
143,159,16,16,0.11188811188811189,144,1,1,0.006993006993006993,158,15,15,0.1048951048951049,138,-5,5,0.03496503496503497,134,-9,9,0.06293706293706294,154,11,11,0.07692307692307693,157,14,14,0.0979020979020979,151,8,8,0.055944055944055944,152,9,9,0.06293706293706294
78,99,21,21,0.2692307692307692,72,-6,6,0.07692307692307693,76,-2,2,0.02564102564102564,97,19,19,0.24358974358974358,100,22,22,0.28205128205128205,84,6,6,0.07692307692307693,82,4,4,0.05128205128205128,93,15,15,0.19230769230769232,96,18,18,0.23076923076923078
99,109,10,10,0.10101010101010101,101,2,2,0.020202020202020204,99,0,0,0.0,90,-9,9,0.09090909090909091,99,0,0,0.0,107,8,8,0.08080808080808081,98,-1,1,0.010101010101010102,96,-3,3,0.030303030303030304,104,5,5,0.050505050505050504
42,90,48,48,1.1428571428571428,44,2,2,0.047619047619047616,44,2,2,0.047619047619047616,44,2,2,0.047619047619047616,47,5,5,0.11904761904761904,45,3,3,0.07142857142857142,45,3,3,0.07142857142857142,44,2,2,0.047619047619047616,47,5,5,0.11904761904761904
60,88,28,28,0.4666666666666667,94,34,34,0.5666666666666667,90,30,30,0.5,83,23,23,0.38333333333333336,80,20,20,0.3333333333333333,88,28,28,0.4666666666666667,75,15,15,0.25,69,9,9,0.15,69,9,9,0.15
82,113,31,31,0.3780487804878049,83,1,1,0.012195121951219513,83,1,1,0.012195121951219513,79,-3,3,0.036585365853658534,82,0,0,0.0,94,12,12,0.14634146341463414,93,11,11,0.13414634146341464,90,8,8,0.0975609756097561,76,-6,6,0.07317073170731707
172,182,10,10,0.05813953488372093,193,21,21,0.12209302325581395,193,21,21,0.12209302325581395,206,34,34,0.19767441860465115,203,31,31,0.18023255813953487,201,29,29,0.1686046511627907,189,17,17,0.09883720930232558,222,50,50,0.29069767441860467,214,42,42,0.2441860465116279
256,315,59,59,0.23046875,306,50,50,0.1953125,294,38,38,0.1484375,339,83,83,0.32421875,316,60,60,0.234375,290,34,34,0.1328125,280,24,24,0.09375,281,25,25,0.09765625,291,35,35,0.13671875
77,90,13,13,0.16883116883116883,83,6,6,0.07792207792207792,86,9,9,0.11688311688311688,90,13,13,0.16883116883116883,90,13,13,0.16883116883116883,83,6,6,0.07792207792207792,90,13,13,0.16883116883116883,92,15,15,0.19480519480519481,92,15,15,0.19480519480519481
95,114,19,19,0.2,113,18,18,0.18947368421052632,104,9,9,0.09473684210526316,85,-10,10,0.10526315789473684,87,-8,8,0.08421052631578947,107,12,12,0.12631578947368421,114,19,19,0.2,102,7,7,0.07368421052631578,113,18,18,0.18947368421052632
46,53,7,7,0.15217391304347827,47,1,1,0.021739130434782608,47,1,1,0.021739130434782608,47,1,1,0.021739130434782608,47,1,1,0.021739130434782608,47,1,1,0.021739130434782608,76,30,30,0.6521739130434783,47,1,1,0.021739130434782608,47,1,1,0.021739130434782608
86,73,-13,13,0.1511627906976744,92,6,6,0.06976744186046512,98,12,12,0.13953488372093023,84,-2,2,0.023255813953488372,84,-2,2,0.023255813953488372,106,20,20,0.23255813953488372,106,20,20,0.23255813953488372,84,-2,2,0.023255813953488372,91,5,5,0.05813953488372093
273,348,75,75,0.27472527472527475,307,34,34,0.12454212454212454,288,15,15,0.054945054945054944,304,31,31,0.11355311355311355,293,20,20,0.07326007326007326,301,28,28,0.10256410256410256,310,37,37,0.13553113553113552,303,30,30,0.10989010989010989,312,39,39,0.14285714285714285
194,235,41,41,0.211340206185567,216,22,22,0.1134020618556701,214,20,20,0.10309278350515463,228,34,34,0.17525773195876287,209,15,15,0.07731958762886598,193,-1,1,0.005154639175257732,208,14,14,0.07216494845360824,214,20,20,0.10309278350515463,208,14,14,0.07216494845360824
38,40,2,2,0.05263157894736842,49,11,11,0.2894736842105263,49,11,11,0.2894736842105263,45,7,7,0.18421052631578946,45,7,7,0.18421052631578946,42,4,4,0.10526315789473684,48,10,10,0.2631578947368421,42,4,4,0.10526315789473684,43,5,5,0.13157894736842105
89,84,-5,5,0.056179775280898875,86,-3,3,0.033707865168539325,93,4,4,0.0449438202247191,86,-3,3,0.033707865168539325,87,-2,2,0.02247191011235955,94,5,5,0.056179775280898875,93,4,4,0.0449438202247191,90,1,1,0.011235955056179775,96,7,7,0.07865168539325842
84,99,15,15,0.17857142857142858,95,11,11,0.13095238095238096,85,1,1,0.011904761904761904,91,7,7,0.08333333333333333,96,12,12,0.14285714285714285,113,29,29,0.34523809523809523,93,9,9,0.10714285714285714,95,11,11,0.13095238095238096,91,7,7,0.08333333333333333
104,144,40,40,0.38461538461538464,119,15,15,0.14423076923076922,119,15,15,0.14423076923076922,115,11,11,0.10576923076923077,102,-2,2,0.019230769230769232,118,14,14,0.1346153846153846,97,-7,7,0.0673076923076923,114,10,10,0.09615384615384616,111,7,7,0.0673076923076923
121,117,-4,4,0.03305785123966942,132,11,11,0.09090909090909091,133,12,12,0.09917355371900827,125,4,4,0.03305785123966942,128,7,7,0.05785123966942149,132,11,11,0.09090909090909091,136,15,15,0.12396694214876033,129,8,8,0.06611570247933884,129,8,8,0.06611570247933884
49,62,13,13,0.2653061224489796,72,23,23,0.46938775510204084,65,16,16,0.32653061224489793,44,-5,5,0.10204081632653061,53,4,4,0.08163265306122448,78,29,29,0.5918367346938775,71,22,22,0.4489795918367347,52,3,3,0.061224489795918366,58,9,9,0.1836734693877551
31,27,-4,4,0.12903225806451613,26,-5,5,0.16129032258064516,27,-4,4,0.12903225806451613,27,-4,4,0.12903225806451613,29,-2,2,0.06451612903225806,27,-4,4,0.12903225806451613,27,-4,4,0.12903225806451613,29,-2,2,0.06451612903225806,29,-2,2,0.06451612903225806
87,122,35,35,0.40229885057471265,112,25,25,0.28735632183908044,99,12,12,0.13793103448275862,115,28,28,0.3218390804597701,110,23,23,0.26436781609195403,128,41,41,0.47126436781609193,96,9,9,0.10344827586206896,94,7,7,0.08045977011494253,104,17,17,0.19540229885057472
112,141,29,29,0.25892857142857145,142,30,30,0.26785714285714285,150,38,38,0.3392857142857143,131,19,19,0.16964285714285715,167,55,55,0.49107142857142855,140,28,28,0.25,152,40,40,0.35714285714285715,144,32,32,0.2857142857142857,164,52,52,0.4642857142857143
109,114,5,5,0.045871559633027525,87,-22,22,0.2018348623853211,127,18,18,0.1651376146788991,120,11,11,0.10091743119266056,105,-4,4,0.03669724770642202,126,17,17,0.1559633027522936,130,21,21,0.1926605504587156,116,7,7,0.06422018348623854,129,20,20,0.1834862385321101
136,130,-6,6,0.04411764705882353,161,25,25,0.18382352941176472,148,12,12,0.08823529411764706,149,13,13,0.09558823529411764,159,23,23,0.16911764705882354,164,28,28,0.20588235294117646,163,27,27,0.19852941176470587,153,17,17,0.125,154,18,18,0.1323529411764706
60,68,8,8,0.13333333333333333,73,13,13,0.21666666666666667,73,13,13,0.21666666666666667,75,15,15,0.25,68,8,8,0.13333333333333333,75,15,15,0.25,75,15,15,0.25,66,6,6,0.1,77,17,17,0.2833333333333333
113,133,20,20,0.17699115044247787,109,-4,4,0.035398230088495575,113,0,0,0.0,109,-4,4,0.035398230088495575,114,1,1,0.008849557522123894,135,22,22,0.19469026548672566,110,-3,3,0.02654867256637168,109,-4,4,0.035398230088495575,114,1,1,0.008849557522123894
240,232,-8,8,0.03333333333333333,218,-22,22,0.09166666666666666,242,2,2,0.008333333333333333,271,31,31,0.12916666666666668,230,-10,10,0.041666666666666664,271,31,31,0.12916666666666668,275,35,35,0.14583333333333334,252,12,12,0.05,256,16,16,0.06666666666666667
78,92,14,14,0.1794871794871795,76,-2,2,0.02564102564102564,86,8,8,0.10256410256410256,80,2,2,0.02564102564102564,70,-8,8,0.10256410256410256,76,-2,2,0.02564102564102564,75,-3,3,0.038461538461538464,61,-17,17,0.21794871794871795,71,-7,7,0.08974358974358974
47,59,12,12,0.2553191489361702,51,4,4,0.0851063829787234,51,4,4,0.0851063829787234,50,3,3,0.06382978723404255,51,4,4,0.0851063829787234,51,4,4,0.0851063829787234,52,5,5,0.10638297872340426,54,7,7,0.14893617021276595,53,6,6,0.1276595744680851
203,273,70,70,0.3448275862068966,235,32,32,0.15763546798029557,232,29,29,0.14285714285714285,238,35,35,0.1724137931034483,255,52,52,0.2561576354679803,223,20,20,0.09852216748768473,247,44,44,0.21674876847290642,235,32,32,0.15763546798029557,242,39,39,0.1921182266009852
166,167,1,1,0.006024096385542169,157,-9,9,0.05421686746987952,159,-7,7,0.04216867469879518,166,0,0,0.0,171,5,5,0.030120481927710843,167,1,1,0.006024096385542169,147,-19,19,0.1144578313253012,179,13,13,0.0783132530120482,185,19,19,0.1144578313253012
84,91,7,7,0.08333333333333333,73,-11,11,0.13095238095238096,71,-13,13,0.15476190476190477,73,-11,11,0.13095238095238096,80,-4,4,0.047619047619047616,92,8,8,0.09523809523809523,109,25,25,0.2976190476190476,74,-10,10,0.11904761904761904,81,-3,3,0.03571428571428571
71,68,-3,3,0.04225352112676056,81,10,10,0.14084507042253522,81,10,10,0.14084507042253522,81,10,10,0.14084507042253522,81,10,10,0.14084507042253522,66,-5,5,0.07042253521126761,70,-1,1,0.014084507042253521,71,0,0,0.0,71,0,0,0.0
74,67,-7,7,0.0945945945945946,88,14,14,0.1891891891891892,84,10,10,0.13513513513513514,84,10,10,0.13513513513513514,89,15,15,0.20270270270270271,80,6,6,0.08108108108108109,83,9,9,0.12162162162162163,80,6,6,0.08108108108108109,85,11,11,0.14864864864864866
163,156,-7,7,0.04294478527607362,177,14,14,0.08588957055214724,185,22,22,0.13496932515337423,169,6,6,0.03680981595092025,175,12,12,0.0736196319018405,178,15,15,0.09202453987730061,174,11,11,0.06748466257668712,176,13,13,0.07975460122699386,179,16,16,0.09815950920245399
139,186,47,47,0.3381294964028777,186,47,47,0.3381294964028777,202,63,63,0.45323741007194246,181,42,42,0.302158273381295,169,30,30,0.2158273381294964,156,17,17,0.1223021582733813,181,42,42,0.302158273381295,152,13,13,0.09352517985611511,156,17,17,0.1223021582733813
171,210,39,39,0.22807017543859648,188,17,17,0.09941520467836257,200,29,29,0.1695906432748538,197,26,26,0.15204678362573099,179,8,8,0.04678362573099415,196,25,25,0.14619883040935672,198,27,27,0.15789473684210525,203,32,32,0.1871345029239766,180,9,9,0.05263157894736842
86,88,2,2,0.023255813953488372,86,0,0,0.0,86,0,0,0.0,89,3,3,0.03488372093023256,86,0,0,0.0,95,9,9,0.10465116279069768,90,4,4,0.046511627906976744,100,14,14,0.16279069767441862,86,0,0,0.0
322,367,45,45,0.13975155279503104,351,29,29,0.09006211180124224,370,48,48,0.14906832298136646,321,-1,1,0.003105590062111801,343,21,21,0.06521739130434782,350,28,28,0.08695652173913043,343,21,21,0.06521739130434782,342,20,20,0.062111801242236024,353,31,31,0.09627329192546584
67,76,9,9,0.13432835820895522,68,1,1,0.014925373134328358,73,6,6,0.08955223880597014,77,10,10,0.14925373134328357,75,8,8,0.11940298507462686,74,7,7,0.1044776119402985,71,4,4,0.05970149253731343,76,9,9,0.13432835820895522,83,16,16,0.23880597014925373
100,105,5,5,0.05,89,-11,11,0.11,91,-9,9,0.09,96,-4,4,0.04,97,-3,3,0.03,89,-11,11,0.11,87,-13,13,0.13,97,-3,3,0.03,97,-3,3,0.03
107,148,41,41,0.38317757009345793,110,3,3,0.028037383177570093,118,11,11,0.102803738317757,110,3,3,0.028037383177570093,122,15,15,0.14018691588785046,99,-8,8,0.07476635514018691,117,10,10,0.09345794392523364,109,2,2,0.018691588785046728,109,2,2,0.018691588785046728
80,89,9,9,0.1125,75,-5,5,0.0625,82,2,2,0.025,77,-3,3,0.0375,70,-10,10,0.125,82,2,2,0.025,84,4,4,0.05,86,6,6,0.075,78,-2,2,0.025
85,117,32,32,0.3764705882352941,104,19,19,0.2235294117647059,100,15,15,0.17647058823529413,108,23,23,0.27058823529411763,116,31,31,0.36470588235294116,91,6,6,0.07058823529411765,95,10,10,0.11764705882352941,99,14,14,0.16470588235294117,86,1,1,0.011764705882352941
71,84,13,13,0.18309859154929578,75,4,4,0.056338028169014086,75,4,4,0.056338028169014086,77,6,6,0.08450704225352113,85,14,14,0.19718309859154928,83,12,12,0.16901408450704225,76,5,5,0.07042253521126761,73,2,2,0.028169014084507043,72,1,1,0.014084507042253521
