len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
154,162,8,8,0.05194805194805195,153,-1,1,0.006493506493506494,153,-1,1,0.006493506493506494,153,-1,1,0.006493506493506494,163,9,9,0.05844155844155844,148,-6,6,0.03896103896103896,145,-9,9,0.05844155844155844,163,9,9,0.05844155844155844,172,18,18,0.11688311688311688
75,95,20,20,0.26666666666666666,80,5,5,0.06666666666666667,79,4,4,0.05333333333333334,85,10,10,0.13333333333333333,85,10,10,0.13333333333333333,69,-6,6,0.08,79,4,4,0.05333333333333334,88,13,13,0.17333333333333334,86,11,11,0.14666666666666667
180,197,17,17,0.09444444444444444,195,15,15,0.08333333333333333,210,30,30,0.16666666666666666,192,12,12,0.06666666666666667,188,8,8,0.044444444444444446,185,5,5,0.027777777777777776,210,30,30,0.16666666666666666,192,12,12,0.06666666666666667,215,35,35,0.19444444444444445
31,57,26,26,0.8387096774193549,43,12,12,0.3870967741935484,43,12,12,0.3870967741935484,35,4,4,0.12903225806451613,35,4,4,0.12903225806451613,32,1,1,0.03225806451612903,33,2,2,0.06451612903225806,35,4,4,0.12903225806451613,31,0,0,0.0
76,106,30,30,0.39473684210526316,77,1,1,0.013157894736842105,95,19,19,0.25,82,6,6,0.07894736842105263,79,3,3,0.039473684210526314,75,-1,1,0.013157894736842105,89,13,13,0.17105263157894737,82,6,6,0.07894736842105263,79,3,3,0.039473684210526314
95,85,-10,10,0.10526315789473684,111,16,16,0.16842105263157894,99,4,4,0.042105263157894736,98,3,3,0.031578947368421054,101,6,6,0.06315789473684211,79,-16,16,0.16842105263157894,98,3,3,0.031578947368421054,96,1,1,0.010526315789473684,101,6,6,0.06315789473684211
92,99,7,7,0.07608695652173914,87,-5,5,0.05434782608695652,89,-3,3,0.03260869565217391,127,35,35,0.3804347826086957,100,8,8,0.08695652173913043,85,-7,7,0.07608695652173914,86,-6,6,0.06521739130434782,109,17,17,0.18478260869565216,112,20,20,0.21739130434782608
85,92,7,7,0.08235294117647059,76,-9,9,0.10588235294117647,81,-4,4,0.047058823529411764,83,-2,2,0.023529411764705882,70,-15,15,0.17647058823529413,80,-5,5,0.058823529411764705,81,-4,4,0.047058823529411764,89,4,4,0.047058823529411764,83,-2,2,0.023529411764705882
156,165,9,9,0.057692307692307696,151,-5,5,0.03205128205128205,158,2,2,0.01282051282051282,171,15,15,0.09615384615384616,165,9,9,0.057692307692307696,158,2,2,0.01282051282051282,155,-1,1,0.00641025641025641,176,20,20,0.1282051282051282,179,23,23,0.14743589743589744
144,196,52,52,0.3611111111111111,154,10,10,0.06944444444444445,163,19,19,0.13194444444444445,139,-5,5,0.034722222222222224,150,6,6,0.041666666666666664,140,-4,4,0.027777777777777776,151,7,7,0.04861111111111111,146,2,2,0.013888888888888888,152,8,8,0.05555555555555555
