len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_penmt1,diff_penmt1,absdiff_penmt1,nabsdiff_penmt1,        len_penmt2,diff_penmt2,absdiff_penmt2,nabsdiff_penmt2,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_pesmt3,diff_pesmt3,absdiff_pesmt3,nabsdiff_pesmt3,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_smt3,diff_smt3,absdiff_smt3,nabsdiff_smt3        
131,135,4,4,0.030534351145038167,126,-5,5,0.03816793893129771,131,0,0,0.0,134,3,3,0.022900763358778626,139,8,8,0.061068702290076333,130,-1,1,0.007633587786259542,132,1,1,0.007633587786259542,133,2,2,0.015267175572519083,139,8,8,0.061068702290076333,145,14,14,0.10687022900763359,130,-1,1,0.007633587786259542
115,128,13,13,0.11304347826086956,130,15,15,0.13043478260869565,148,33,33,0.28695652173913044,136,21,21,0.1826086956521739,128,13,13,0.11304347826086956,121,6,6,0.05217391304347826,130,15,15,0.13043478260869565,86,-29,29,0.25217391304347825,114,-1,1,0.008695652173913044,124,9,9,0.0782608695652174,120,5,5,0.043478260869565216
132,173,41,41,0.3106060606060606,154,22,22,0.16666666666666666,182,50,50,0.3787878787878788,163,31,31,0.23484848484848486,171,39,39,0.29545454545454547,157,25,25,0.1893939393939394,148,16,16,0.12121212121212122,150,18,18,0.13636363636363635,162,30,30,0.22727272727272727,163,31,31,0.23484848484848486,143,11,11,0.08333333333333333
157,193,36,36,0.22929936305732485,184,27,27,0.17197452229299362,210,53,53,0.3375796178343949,186,29,29,0.18471337579617833,177,20,20,0.12738853503184713,184,27,27,0.17197452229299362,181,24,24,0.15286624203821655,175,18,18,0.11464968152866242,183,26,26,0.16560509554140126,168,11,11,0.07006369426751592,177,20,20,0.12738853503184713
166,251,85,85,0.5120481927710844,198,32,32,0.1927710843373494,184,18,18,0.10843373493975904,228,62,62,0.37349397590361444,217,51,51,0.3072289156626506,204,38,38,0.2289156626506024,191,25,25,0.15060240963855423,169,3,3,0.018072289156626505,167,1,1,0.006024096385542169,211,45,45,0.2710843373493976,170,4,4,0.024096385542168676
46,46,0,0,0.0,46,0,0,0.0,46,0,0,0.0,47,1,1,0.021739130434782608,46,0,0,0.0,46,0,0,0.0,46,0,0,0.0,37,-9,9,0.1956521739130435,47,1,1,0.021739130434782608,47,1,1,0.021739130434782608,47,1,1,0.021739130434782608
123,148,25,25,0.2032520325203252,149,26,26,0.21138211382113822,143,20,20,0.16260162601626016,122,-1,1,0.008130081300813009,138,15,15,0.12195121951219512,166,43,43,0.34959349593495936,141,18,18,0.14634146341463414,116,-7,7,0.056910569105691054,122,-1,1,0.008130081300813009,135,12,12,0.0975609756097561,129,6,6,0.04878048780487805
28,35,7,7,0.25,42,14,14,0.5,57,29,29,1.0357142857142858,42,14,14,0.5,42,14,14,0.5,60,32,32,1.1428571428571428,42,14,14,0.5,40,12,12,0.42857142857142855,42,14,14,0.5,42,14,14,0.5,38,10,10,0.35714285714285715
213,203,-10,10,0.046948356807511735,264,51,51,0.23943661971830985,290,77,77,0.3615023474178404,257,44,44,0.20657276995305165,253,40,40,0.18779342723004694,254,41,41,0.19248826291079812,241,28,28,0.13145539906103287,240,27,27,0.1267605633802817,249,36,36,0.16901408450704225,257,44,44,0.20657276995305165,263,50,50,0.2347417840375587
156,160,4,4,0.02564102564102564,194,38,38,0.24358974358974358,173,17,17,0.10897435897435898,168,12,12,0.07692307692307693,188,32,32,0.20512820512820512,164,8,8,0.05128205128205128,156,0,0,0.0,156,0,0,0.0,157,1,1,0.00641025641025641,158,2,2,0.01282051282051282,148,-8,8,0.05128205128205128
53,52,-1,1,0.018867924528301886,60,7,7,0.1320754716981132,56,3,3,0.05660377358490566,57,4,4,0.07547169811320754,66,13,13,0.24528301886792453,55,2,2,0.03773584905660377,60,7,7,0.1320754716981132,56,3,3,0.05660377358490566,56,3,3,0.05660377358490566,56,3,3,0.05660377358490566,55,2,2,0.03773584905660377
231,259,28,28,0.12121212121212122,289,58,58,0.2510822510822511,258,27,27,0.11688311688311688,262,31,31,0.1341991341991342,331,100,100,0.4329004329004329,281,50,50,0.21645021645021645,273,42,42,0.18181818181818182,231,0,0,0.0,245,14,14,0.06060606060606061,266,35,35,0.15151515151515152,227,-4,4,0.017316017316017316
194,201,7,7,0.03608247422680412,212,18,18,0.09278350515463918,215,21,21,0.10824742268041238,174,-20,20,0.10309278350515463,211,17,17,0.08762886597938144,244,50,50,0.25773195876288657,213,19,19,0.0979381443298969,182,-12,12,0.061855670103092786,192,-2,2,0.010309278350515464,208,14,14,0.07216494845360824,210,16,16,0.08247422680412371
51,40,-11,11,0.21568627450980393,44,-7,7,0.13725490196078433,43,-8,8,0.1568627450980392,47,-4,4,0.0784313725490196,45,-6,6,0.11764705882352941,43,-8,8,0.1568627450980392,44,-7,7,0.13725490196078433,45,-6,6,0.11764705882352941,42,-9,9,0.17647058823529413,42,-9,9,0.17647058823529413,37,-14,14,0.27450980392156865
84,90,6,6,0.07142857142857142,99,15,15,0.17857142857142858,84,0,0,0.0,91,7,7,0.08333333333333333,93,9,9,0.10714285714285714,91,7,7,0.08333333333333333,94,10,10,0.11904761904761904,88,4,4,0.047619047619047616,95,11,11,0.13095238095238096,94,10,10,0.11904761904761904,99,15,15,0.17857142857142858
